Method,Site,FarmingSystem,SampleRef,DistanceFromTR,Month,Year,Species,Sex,TaxGroup,Abundance
Pan,1,Arable,CP,0,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,1,Agroforestry,TA,0,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TB,0.5,6,2018,Halictus rubicundus,F,Anthophila,1
Pan,1,Agroforestry,TC,5,6,2018,Lasioglossum calceatum,F,Anthophila,1
Pan,1,Agroforestry,TD,9.5,6,2018,Platycheirus clypeatus,Unknown,Syrphidae,1
Pan,1,Agroforestry,TE,9.5,6,2018,Lasioglossum calceatum,F,Anthophila,1
Pan,1,Agroforestry,TF,5,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TF,5,6,2018,Apis mellifera,Unknown,Anthophila,1
Pan,1,Agroforestry,TG,0.5,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TH,0,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TI,0,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TJ,0.5,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TK,5,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TL,9.5,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TM,9.5,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TM,9.5,6,2018,Apis mellifera,Unknown,Anthophila,1
Pan,1,Agroforestry,TN,5,6,2018,NA,NA,NA,0
Pan,1,Agroforestry,TP,0,6,2018,NA,NA,NA,0
Pan,2,Arable,CA,0,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Arable,CA,0,6,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,2,Arable,CB,0.5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,2
Pan,2,Arable,CB,0.5,6,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,2,Arable,CB,0.5,6,2018,Lasioglossum parvulum,F,Anthophila,1
Pan,2,Arable,CC,5,6,2018,Eristalis tenax,Unknown,Syrphidae,1
Pan,2,Arable,CC,5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Arable,CC,5,6,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,2,Arable,CC,5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,2
Pan,2,Arable,CC,5,6,2018,Lasioglossum puncticolle,F,Anthophila,3
Pan,2,Arable,CC,5,6,2018,Apis mellifera,Unknown,Anthophila,1
Pan,2,Arable,CD,9.5,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,2,Arable,CD,9.5,6,2018,Lasioglossum puncticolle,F,Anthophila,2
Pan,2,Arable,CE,9.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Arable,CE,9.5,6,2018,Andrena wilkella,F,Anthophila,1
Pan,2,Arable,CE,9.5,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Arable,CE,9.5,6,2018,Lasioglossum puncticolle,F,Anthophila,2
Pan,2,Arable,CE,9.5,6,2018,Chrysotoxum bicinctum,Unknown,Syrphidae,2
Pan,2,Arable,CF,5,6,2018,Andrena wilkella,F,Anthophila,2
Pan,2,Arable,CF,5,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Arable,CF,5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,2,Arable,CF,5,6,2018,Lasioglossum puncticolle,F,Anthophila,2
Pan,2,Arable,CG,0.5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,2,Arable,CG,0.5,6,2018,Lasioglossum parvulum,F,Anthophila,1
Pan,2,Arable,CG,0.5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Arable,CH,0,6,2018,Lasioglossum puncticolle,F,Anthophila,4
Pan,2,Arable,CH,0,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Arable,CH,0,6,2018,Episyrphus balteatus,Unknown,Syrphidae,2
Pan,2,Arable,CH,0,6,2018,Lasioglossum morio,M,Anthophila,1
Pan,2,Arable,CH,0,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,3
Pan,2,Arable,CI,0,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Arable,CI,0,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Arable,CI,0,6,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,2,Arable,CI,0,6,2018,Episyrphus balteatus,Unknown,Syrphidae,2
Pan,2,Arable,CI,0,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,2,Arable,CI,0,6,2018,Lasioglossum calceatum,F,Anthophila,1
Pan,2,Arable,CI,0,6,2018,Lasioglossum puncticolle,F,Anthophila,4
Pan,2,Arable,CI,0,6,2018,Lasioglossum malachurum,F,Anthophila,1
Pan,2,Arable,CJ,0.5,6,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,2,Arable,CJ,0.5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Arable,CJ,0.5,6,2018,Andrena wilkella,F,Anthophila,1
Pan,2,Arable,CJ,0.5,6,2018,Lejogaster metallina,Unknown,Syrphidae,1
Pan,2,Arable,CJ,0.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Arable,CJ,0.5,6,2018,Lasioglossum parvulum,F,Anthophila,1
Pan,2,Arable,CK,5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,2
Pan,2,Arable,CK,5,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Arable,CK,5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,2,Arable,CK,5,6,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,2,Arable,CK,5,6,2018,Apis mellifera,Unknown,Anthophila,1
Pan,2,Arable,CL,9.5,6,2018,Helophilus hybridus,Unknown,Syrphidae,2
Pan,2,Arable,CL,9.5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,3
Pan,2,Arable,CL,9.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Arable,CL,9.5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,3
Pan,2,Arable,CL,9.5,6,2018,Lasioglossum puncticolle,F,Anthophila,2
Pan,2,Arable,CM,9.5,6,2018,Lasioglossum puncticolle,F,Anthophila,5
Pan,2,Arable,CM,9.5,6,2018,Andrena humilis,F,Anthophila,1
Pan,2,Arable,CM,9.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Arable,CM,9.5,6,2018,Lejogaster metallina,Unknown,Syrphidae,1
Pan,2,Arable,CM,9.5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,5
Pan,2,Arable,CN,5,6,2018,Lasioglossum malachurum,F,Anthophila,1
Pan,2,Arable,CN,5,6,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,2,Arable,CN,5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Agroforestry,TA,0,6,2018,Bombus pratorum,F,Anthophila,1
Pan,2,Agroforestry,TA,0,6,2018,Lasioglossum puncticolle,F,Anthophila,25
Pan,2,Agroforestry,TA,0,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Agroforestry,TA,0,6,2018,Eupeodes luniger,Unknown,Syrphidae,1
Pan,2,Agroforestry,TA,0,6,2018,Andrena humilis,F,Anthophila,1
Pan,2,Agroforestry,TB,0.5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Agroforestry,TB,0.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Agroforestry,TB,0.5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TB,0.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,2,Agroforestry,TB,0.5,6,2018,Lasioglossum puncticolle,F,Anthophila,27
Pan,2,Agroforestry,TC,5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,2
Pan,2,Agroforestry,TC,5,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TC,5,6,2018,Andrena chrysosceles,F,Anthophila,2
Pan,2,Agroforestry,TC,5,6,2018,Lasioglossum puncticolle,F,Anthophila,12
Pan,2,Agroforestry,TD,9.5,6,2018,Lasioglossum puncticolle,F,Anthophila,16
Pan,2,Agroforestry,TD,9.5,6,2018,Eristalis tenax,Unknown,Syrphidae,1
Pan,2,Agroforestry,TE,9.5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TE,9.5,6,2018,Lasioglossum calceatum,F,Anthophila,2
Pan,2,Agroforestry,TE,9.5,6,2018,Lasioglossum puncticolle,F,Anthophila,11
Pan,2,Agroforestry,TE,9.5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Agroforestry,TE,9.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Agroforestry,TF,5,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TF,5,6,2018,Lasioglossum puncticolle,F,Anthophila,7
Pan,2,Agroforestry,TF,5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Agroforestry,TG,0.5,6,2018,Lasioglossum puncticolle,F,Anthophila,9
Pan,2,Agroforestry,TG,0.5,6,2018,Bombus pratorum,F,Anthophila,1
Pan,2,Agroforestry,TG,0.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,2,Agroforestry,TG,0.5,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TG,0.5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,2
Pan,2,Agroforestry,TH,0,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Agroforestry,TH,0,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TH,0,6,2018,Lasioglossum puncticolle,F,Anthophila,2
Pan,2,Agroforestry,TH,0,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,2,Agroforestry,TI,0,6,2018,Lasioglossum puncticolle,F,Anthophila,15
Pan,2,Agroforestry,TI,0,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,2,Agroforestry,TJ,0.5,6,2018,Lasioglossum puncticolle,F,Anthophila,9
Pan,2,Agroforestry,TJ,0.5,6,2018,Eristalis tenax,Unknown,Syrphidae,1
Pan,2,Agroforestry,TJ,0.5,6,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,2,Agroforestry,TK,5,6,2018,Lasioglossum puncticolle,F,Anthophila,7
Pan,2,Agroforestry,TK,5,6,2018,Apis mellifera,Unknown,Anthophila,1
Pan,2,Agroforestry,TL,9.5,6,2018,Lasioglossum puncticolle,F,Anthophila,14
Pan,2,Agroforestry,TL,9.5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,2,Agroforestry,TL,9.5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TM,9.5,6,2018,Lasioglossum puncticolle,F,Anthophila,3
Pan,2,Agroforestry,TM,9.5,6,2018,Chrysogaster solstitialis,Unknown,Syrphidae,1
Pan,2,Agroforestry,TM,9.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,2,Agroforestry,TN,5,6,2018,Lasioglossum pauxillum,F,Anthophila,1
Pan,2,Agroforestry,TN,5,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TN,5,6,2018,Lasioglossum puncticolle,F,Anthophila,6
Pan,2,Agroforestry,TN,5,6,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,2,Agroforestry,TN,5,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TO,0.5,6,2018,Lasioglossum puncticolle,F,Anthophila,5
Pan,2,Agroforestry,TO,0.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,2,Agroforestry,TP,0,6,2018,Lejogaster metallina,Unknown,Syrphidae,1
Pan,2,Agroforestry,TP,0,6,2018,Helophilus hybridus,Unknown,Syrphidae,1
Pan,2,Agroforestry,TP,0,6,2018,Lasioglossum puncticolle,F,Anthophila,5
Pan,3,Arable,CB,0.5,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,3,Arable,CB,0.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,3,Arable,CC,5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,4
Pan,3,Arable,CD,9.5,6,2018,Lasioglossum albipes,F,Anthophila,1
Pan,3,Arable,CD,9.5,6,2018,Bombus ruderatus,F,Anthophila,1
Pan,3,Arable,CD,9.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,6
Pan,3,Arable,CD,9.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,3,Arable,CE,9.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,4
Pan,3,Arable,CF,5,6,2018,Lasioglossum malachurum,F,Anthophila,1
Pan,3,Arable,CF,5,6,2018,Sphaerophoria scripta,Unknown,Syrphidae,1
Pan,3,Arable,CF,5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,3
Pan,3,Arable,CF,5,6,2018,Andrena cineraria,F,Anthophila,1
Pan,3,Arable,CF,5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,3,Arable,CF,5,6,2018,Eristalis abusivus,Unknown,Syrphidae,1
Pan,3,Arable,CG,0.5,6,2018,Andrena cineraria,F,Anthophila,1
Pan,3,Arable,CG,0.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,4
Pan,3,Arable,CI,0,6,2018,Eristalis arbustorum,Unknown,Syrphidae,5
Pan,3,Arable,CI,0,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,3,Arable,CJ,0.5,6,2018,Andrena cineraria,F,Anthophila,1
Pan,3,Arable,CJ,0.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,2
Pan,3,Arable,CK,5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,2
Pan,3,Arable,CK,5,6,2018,Apis mellifera,Unknown,Anthophila,1
Pan,3,Arable,CL,9.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,2
Pan,3,Arable,CM,9.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,3
Pan,3,Arable,CN,5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,3
Pan,3,Arable,CN,5,6,2018,Eristalis abusivus,Unknown,Syrphidae,2
Pan,3,Arable,CN,5,6,2018,Bombus ruderatus,F,Anthophila,1
Pan,3,Arable,CN,5,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,3,Arable,CN,5,6,2018,Lasioglossum calceatum,F,Anthophila,1
Pan,3,Arable,CO,0.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,2
Pan,3,Arable,CP,0,6,2018,Lasioglossum malachurum,F,Anthophila,1
Pan,3,Agroforestry,TA,0,6,2018,Eristalis arbustorum,Unknown,Syrphidae,1
Pan,3,Agroforestry,TA,0,6,2018,Lasioglossum morio,F,Anthophila,1
Pan,3,Agroforestry,TB,0.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,3,Agroforestry,TB,0.5,6,2018,Lasioglossum puncticolle,F,Anthophila,2
Pan,3,Agroforestry,TC,5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,3
Pan,3,Agroforestry,TC,5,6,2018,Lasioglossum morio,F,Anthophila,1
Pan,3,Agroforestry,TD,9.5,6,2018,Platycheirus manicatus,Unknown,Syrphidae,1
Pan,3,Agroforestry,TE,9.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,3
Pan,3,Agroforestry,TF,5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,2
Pan,3,Agroforestry,TF,5,6,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,3,Agroforestry,TG,0.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,3
Pan,3,Agroforestry,TH,0,6,2018,Eristalis arbustorum,Unknown,Syrphidae,3
Pan,3,Agroforestry,TJ,0.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,4
Pan,3,Agroforestry,TJ,0.5,6,2018,Tropidia scita,Unknown,Syrphidae,1
Pan,3,Agroforestry,TJ,0.5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,3,Agroforestry,TK,5,6,2018,Eristalinus sepulchralis,Unknown,Syrphidae,1
Pan,3,Agroforestry,TL,9.5,6,2018,Eristalis arbustorum,Unknown,Syrphidae,2
Pan,3,Agroforestry,TM,9.5,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,3,Agroforestry,TN,5,6,2018,NA,NA,NA,0
Pan,3,Agroforestry,TO,0.5,6,2018,NA,NA,NA,0
Pan,3,Agroforestry,TP,0,6,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,3,Agroforestry,TP,0,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,1,Arable,CA,0,7,2018,Eupeodes latifasciatus,Unknown,Syrphidae,1
Pan,1,Arable,CA,0,7,2018,Lasioglossum albipes,F,Anthophila,1
Pan,1,Arable,CA,0,7,2018,Eumerus funeralis,Unknown,Syrphidae,1
Pan,1,Arable,CA,0,7,2018,Eupeodes corollae,Unknown,Syrphidae,2
Pan,1,Arable,CB,0.5,7,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,1,Arable,CB,0.5,7,2018,Pipizella viduata,Unknown,Syrphidae,1
Pan,1,Arable,CB,0.5,7,2018,Lasioglossum malachurum,F,Anthophila,1
Pan,1,Arable,CC,5,7,2018,Lasioglossum malachurum,M,Anthophila,1
Pan,1,Arable,CD,9.5,7,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,1,Arable,CD,9.5,7,2018,Lasioglossum leucopus,F,Anthophila,1
Pan,1,Arable,CD,9.5,7,2018,Lasioglossum albipes,F,Anthophila,1
Pan,1,Arable,CE,9.5,7,2018,Syrphus ribesii,Unknown,Syrphidae,2
Pan,1,Arable,CE,9.5,7,2018,Episyrphus balteatus,Unknown,Syrphidae,1
Pan,1,Arable,CF,5,7,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,1,Arable,CF,5,7,2018,Eumerus funeralis,Unknown,Syrphidae,1
Pan,1,Arable,CF,5,7,2018,Scaeva pyrastri,Unknown,Syrphidae,1
Pan,1,Arable,CG,0.5,7,2018,Pipizella viduata,Unknown,Syrphidae,1
Pan,1,Arable,CH,0,7,2018,Lasioglossum smeathmanellum,F,Anthophila,1
Pan,1,Arable,CH,0,7,2018,Eupeodes luniger,Unknown,Syrphidae,1
Pan,1,Arable,CH,0,7,2018,Eupeodes corollae,Unknown,Syrphidae,2
Pan,1,Arable,CH,0,7,2018,Eumerus funeralis,Unknown,Syrphidae,1
Pan,1,Arable,CI,0,7,2018,Lasioglossum malachurum,F,Anthophila,1
Pan,1,Arable,CI,0,7,2018,Eumerus funeralis,Unknown,Syrphidae,1
Pan,1,Arable,CJ,0.5,7,2018,Eumerus funeralis,Unknown,Syrphidae,1
Pan,1,Arable,CJ,0.5,7,2018,Lasioglossum malachurum,F,Anthophila,1
Pan,1,Arable,CJ,0.5,7,2018,Eupeodes corollae,Unknown,Syrphidae,1
Pan,1,Arable,CK,5,7,2018,Eupeodes latifasciatus,Unknown,Syrphidae,1
Pan,1,Arable,CK,5,7,2018,Halictus tumulorum,M,Anthophila,1
Pan,1,Arable,CK,5,7,2018,Scaeva pyrastri,Unknown,Syrphidae,1
Pan,1,Arable,CK,5,7,2018,Eupeodes corollae,Unknown,Syrphidae,1
