month,date,site,treatment,recorder,quadrat,perc_cover,spp,spp_perc,spp_fu,notes
march,20/03/2023,WH,C,EK,2A,0,na,na,na,
march,20/03/2023,WH,C,EK,2B,0,na,na,na,
march,20/03/2023,WH,C,EK,2C,0,na,na,na,
march,20/03/2023,WH,C,EK,3A,0,na,na,na,
march,20/03/2023,WH,C,EK,3B,0,na,na,na,
march,20/03/2023,WH,C,EK,3C,0,na,na,na,
march,20/03/2023,WH,C,EK,4A,0,na,na,na,
march,20/03/2023,WH,C,EK,4B,0,na,na,na,
march,20/03/2023,WH,C,EK,4C,0,na,na,na,
march,20/03/2023,WH,C,EK,5A,<1,common field speedwell,<1,1,
march,20/03/2023,WH,C,EK,5A,0,common chickweed,<1,1,
march,20/03/2023,WH,C,EK,5B,<1,common field speedwell,<1,4,
march,20/03/2023,WH,C,EK,5C,<1,common field speedwell,<1,2,
march,20/03/2023,WH,C,EK,6A,<1,common field speedwell,2,<1,
march,20/03/2023,WH,C,EK,6A,0,common chickweed,<1,2,
march,20/03/2023,WH,C,EK,6B,<1,common field speedwell,<1,13,
march,20/03/2023,WH,C,EK,6C,<1,common field speedwell,<1,8,
march,20/03/2023,WH,C,EK,6C,0,common chickweed,<1,1,
march,20/03/2023,WH,C,EK,M1A,0,na,na,na,
march,20/03/2023,WH,C,EK,M1B,0,na,na,na,
march,20/03/2023,WH,C,EK,M1C,0,na,na,na,
march,20/03/2023,WH,C,EK,M2A,0,na,na,na,
march,20/03/2023,WH,C,EK,M2B,0,na,na,na,
march,20/03/2023,WH,C,EK,M2C,0,na,na,na,
march,20/03/2023,WH,C,EK,M3A,0,na,na,na,
march,20/03/2023,WH,C,EK,M3B,0,na,na,na,
march,20/03/2023,WH,C,EK,M3C,0,na,na,na,
march,21/03/2023,RH,AF,EK,1A,0,na,na,na,
march,21/03/2023,RH,AF,EK,1B,0,na,na,na,
march,21/03/2023,RH,AF,EK,1C,0,na,na,na,
march,21/03/2023,RH,AF,EK,2A,0,na,na,na,
march,21/03/2023,RH,AF,EK,2B,0,na,na,na,
march,21/03/2023,RH,AF,EK,2C,0,na,na,na,
march,21/03/2023,RH,AF,EK,3A,0,na,na,na,
march,21/03/2023,RH,AF,EK,3B,0,na,na,na,
march,21/03/2023,RH,AF,EK,3C,0,na,na,na,
march,21/03/2023,RH,AF,EK,4A,0,na,na,na,
march,21/03/2023,RH,AF,EK,4B,0,na,na,na,
march,21/03/2023,RH,AF,EK,4C,0,na,na,na,
march,21/03/2023,RH,AF,EK,5A,0,na,na,na,
march,21/03/2023,RH,AF,EK,5B,0,na,na,na,
march,21/03/2023,RH,AF,EK,5C,0,na,na,na,
march,21/03/2023,RH,AF,EK,6A,0,na,na,na,
march,21/03/2023,RH,AF,EK,6B,0,na,na,na,
march,21/03/2023,RH,AF,EK,6C,0,na,na,na,
march,21/03/2023,RH,AF,EK,M1A,0,na,na,na,
march,21/03/2023,RH,AF,EK,M1B,0,na,na,na,
march,21/03/2023,RH,AF,EK,M1C,0,na,na,na,
march,21/03/2023,RH,AF,EK,M2A,0,na,na,na,
march,21/03/2023,RH,AF,EK,M2B,0,na,na,na,
march,21/03/2023,RH,AF,EK,M2C,0,na,na,na,
march,21/03/2023,RH,AF,EK,M3A,0,na,na,na,
march,21/03/2023,RH,AF,EK,M3B,0,na,na,na,
march,21/03/2023,RH,AF,EK,M3C,0,na,na,na,
march,21/03/2023,RH,C,EK,1A,0,na,na,na,
march,21/03/2023,RH,C,EK,1B,0,na,na,na,
march,21/03/2023,RH,C,EK,1C,<1,common field speedwell,<1,1,
march,21/03/2023,RH,C,EK,2A,0,na,na,na,
march,21/03/2023,RH,C,EK,2B,0,na,na,na,
march,21/03/2023,RH,C,EK,2C,<1,common field speedwell,<1,1,
march,21/03/2023,RH,C,EK,3A,0,na,na,na,
march,21/03/2023,RH,C,EK,3B,0,na,na,na,
march,21/03/2023,RH,C,EK,3C,0,na,na,na,
march,21/03/2023,RH,C,EK,4A,0,na,na,na,
march,21/03/2023,RH,C,EK,4B,0,na,na,na,
march,21/03/2023,RH,C,EK,4C,0,na,na,na,
march,21/03/2023,RH,C,EK,5A,0,na,na,na,
march,21/03/2023,RH,C,EK,5B,0,na,na,na,
march,21/03/2023,RH,C,EK,5C,0,na,na,na,
march,21/03/2023,RH,C,EK,6A,0,na,na,na,
march,21/03/2023,RH,C,EK,6B,0,na,na,na,
march,21/03/2023,RH,C,EK,6C,0,na,na,na,
march,21/03/2023,RH,C,EK,M1A,0,na,na,na,
march,21/03/2023,RH,C,EK,M1B,0,na,na,na,
march,21/03/2023,RH,C,EK,M1C,0,na,na,na,
march,21/03/2023,RH,C,EK,M2A,0,na,na,na,
march,21/03/2023,RH,C,EK,M2B,0,na,na,na,
march,21/03/2023,RH,C,EK,M2C,0,na,na,na,
march,21/03/2023,RH,C,EK,M3A,0,na,na,na,
march,21/03/2023,RH,C,EK,M3B,0,na,na,na,
march,21/03/2023,RH,C,EK,M3C,0,na,na,na,
april,19/04/2023,WH,AF,EK,1A,0,na,na,na,
april,19/04/2023,WH,AF,EK,1B,0,na,na,na,
april,19/04/2023,WH,AF,EK,1C,0,na,na,na,
april,19/04/2023,WH,AF,EK,2A,0,na,na,na,
april,19/04/2023,WH,AF,EK,2B,0,na,na,na,
april,19/04/2023,WH,AF,EK,2C,0,na,na,na,
april,19/04/2023,WH,AF,EK,3A,0,na,na,na,
april,19/04/2023,WH,AF,EK,3B,0,na,na,na,
april,19/04/2023,WH,AF,EK,3C,0,na,na,na,
april,19/04/2023,WH,AF,EK,4A,0,na,na,na,
april,19/04/2023,WH,AF,EK,4B,0,na,na,na,
april,19/04/2023,WH,AF,EK,4C,0,na,na,na,
april,19/04/2023,WH,AF,EK,5A,50,common chickweed,50,14,
april,19/04/2023,WH,AF,EK,5B,0,na,na,na,
april,19/04/2023,WH,AF,EK,5C,0,na,na,na,
april,19/04/2023,WH,AF,EK,6A,0,na,na,na,
april,19/04/2023,WH,AF,EK,6B,0,na,na,na,
april,19/04/2023,WH,AF,EK,6C,0,na,na,na,
april,19/04/2023,WH,AF,EK,M1A,2,common nettle,2,12,
april,19/04/2023,WH,AF,EK,M1B,0,na,na,na,
april,19/04/2023,WH,AF,EK,M1C,0,na,na,na,
april,19/04/2023,WH,AF,EK,M2A1,0,na,na,na,
april,19/04/2023,WH,AF,EK,M2B1,0,na,na,na,
april,19/04/2023,WH,AF,EK,M2C1,<1,common chickweed,15,3,
april,19/04/2023,WH,AF,EK,M3A,15,common chickweed,15,3,
april,19/04/2023,WH,AF,EK,M3B,0,na,na,na,
april,19/04/2023,WH,AF,EK,M3C,0,na,na,na,
april,19/04/2023,WH,C,EK,1A,0,na,na,na,
april,19/04/2023,WH,C,EK,1B,0,na,na,na,
april,19/04/2023,WH,C,EK,1C,0,na,na,na,
april,19/04/2023,WH,C,EK,2A,0,na,na,na,
april,19/04/2023,WH,C,EK,2B,0,na,na,na,
april,19/04/2023,WH,C,EK,2C,0,na,na,na,
april,19/04/2023,WH,C,EK,3A,0,na,na,na,
april,19/04/2023,WH,C,EK,3B,0,na,na,na,
april,19/04/2023,WH,C,EK,3C,<1,common chickweed,<1,1,
april,19/04/2023,WH,C,EK,4A,<1,common chickweed,<1,1,
april,19/04/2023,WH,C,EK,4B,0,na,na,na,
april,19/04/2023,WH,C,EK,4C,0,na,na,na,
april,19/04/2023,WH,C,EK,5A,0,na,na,na,
april,19/04/2023,WH,C,EK,5B,5,common nettle,5,10,
april,19/04/2023,WH,C,EK,5C,0,na,na,na,
april,19/04/2023,WH,C,EK,6A,0,na,na,na,
april,19/04/2023,WH,C,EK,6B,3,common field speedwell,3,8,
april,19/04/2023,WH,C,EK,6C,0,na,na,na,
april,19/04/2023,WH,C,EK,M1A1,1,common chickweed,1,5,
april,19/04/2023,WH,C,EK,M1B1,0,na,na,na,
april,19/04/2023,WH,C,EK,M1C1,0,na,na,na,
april,19/04/2023,WH,C,EK,M2A1,0,na,na,na,
april,19/04/2023,WH,C,EK,M2B1,20,red dead nettle,20,68,
april,19/04/2023,WH,C,EK,M2C1,0,na,na,na,
april,19/04/2023,WH,C,EK,M3A1,0,na,na,na,
april,19/04/2023,WH,C,EK,M3B1,0,na,na,na,
april,19/04/2023,WH,C,EK,M3C1,1,dandelion,1,1,
april,24/04/2023,FE,AF,EK,1A,0,na,na,na,
april,24/04/2023,FE,AF,EK,1B,0,na,na,na,
april,24/04/2023,FE,AF,EK,1C,0,na,na,na,
april,24/04/2023,FE,AF,EK,2A,1,common field speedwell,1,2,
april,24/04/2023,FE,AF,EK,2B,0,na,na,na,
april,24/04/2023,FE,AF,EK,2C,1,groundsel,1,3,
april,24/04/2023,FE,AF,EK,3A,0,na,na,na,
april,24/04/2023,FE,AF,EK,3B,0,na,na,na,
april,24/04/2023,FE,AF,EK,3C,0,na,na,na,
april,24/04/2023,FE,AF,EK,4A,0,na,na,na,
april,24/04/2023,FE,AF,EK,4B,0,na,na,na,
april,24/04/2023,FE,AF,EK,4C,0,na,na,na,
april,24/04/2023,FE,AF,EK,5A,0,na,na,na,
april,24/04/2023,FE,AF,EK,5B,0,na,na,na,
april,24/04/2023,FE,AF,EK,5C,0,na,na,na,
april,24/04/2023,FE,AF,EK,6A,0,na,na,na,
april,24/04/2023,FE,AF,EK,6B,0,na,na,na,
april,24/04/2023,FE,AF,EK,6C,0,na,na,na,
april,24/04/2023,FE,AF,EK,M1A1,0,na,na,na,
april,24/04/2023,FE,AF,EK,M1B1,0,na,na,na,
april,24/04/2023,FE,AF,EK,M1C1,0,na,na,na,
april,24/04/2023,FE,AF,EK,M2A,0,na,na,na,
april,24/04/2023,FE,AF,EK,M2B,0,na,na,na,
april,24/04/2023,FE,AF,EK,M2C,0,na,na,na,
april,24/04/2023,FE,AF,EK,M3A1,0,na,na,na,
april,24/04/2023,FE,AF,EK,M3B1,3,dandelion,2,3,
april,24/04/2023,FE,AF,EK,M3C1,3,dandelion,3,3,
april,24/04/2023,FE,C,EK,1A,0,na,na,na,
april,24/04/2023,FE,C,EK,1B,0,na,na,na,
april,24/04/2023,FE,C,EK,1C,0,na,na,na,
april,24/04/2023,FE,C,EK,2A,0,na,na,na,
april,24/04/2023,FE,C,EK,2B,0,na,na,na,
april,24/04/2023,FE,C,EK,2C,0,na,na,na,
april,24/04/2023,FE,C,EK,3A,0,na,na,na,
april,24/04/2023,FE,C,EK,3B,0,na,na,na,
april,24/04/2023,FE,C,EK,3C,0,na,na,na,
april,24/04/2023,FE,C,EK,4A,0,na,na,na,
april,24/04/2023,FE,C,EK,4B,0,na,na,na,
april,24/04/2023,FE,C,EK,4C,0,na,na,na,
april,24/04/2023,FE,C,EK,5A,0,na,na,na,
april,24/04/2023,FE,C,EK,5B,0,na,na,na,
april,24/04/2023,FE,C,EK,5C,0,na,na,na,
april,24/04/2023,FE,C,EK,6A,0,na,na,na,
april,24/04/2023,FE,C,EK,6B,0,na,na,na,
april,24/04/2023,FE,C,EK,6C,0,na,na,na,
april,24/04/2023,FE,C,EK,M1A1,0,na,na,na,
april,24/04/2023,FE,C,EK,M1B1,0,na,na,na,
april,24/04/2023,FE,C,EK,M1C1,0,na,na,na,
april,24/04/2023,FE,C,EK,M3A1,0,na,na,na,
april,24/04/2023,FE,C,EK,M3B1,0,na,na,na,
april,24/04/2023,FE,C,EK,M3C1,0,na,na,na,
april,20/04/2023,RH,AF,EK,1A,0,na,na,na,NB fields cultivated day before visit - therefore lower weed count.
april,20/04/2023,RH,AF,EK,1B,0,na,na,na,
april,20/04/2023,RH,AF,EK,1C,0,na,na,na,
april,20/04/2023,RH,AF,EK,2A,2,groundsel,2,12,
april,20/04/2023,RH,AF,EK,2B,0,na,na,na,
april,20/04/2023,RH,AF,EK,2C,0,na,na,na,
april,20/04/2023,RH,AF,EK,3A,0,na,na,na,
april,20/04/2023,RH,AF,EK,3B,0,na,na,na,
april,20/04/2023,RH,AF,EK,3C,0,na,na,na,
april,20/04/2023,RH,AF,EK,4A,0,na,na,na,
april,20/04/2023,RH,AF,EK,4B,0,na,na,na,
april,20/04/2023,RH,AF,EK,4C,0,na,na,na,
april,20/04/2023,RH,AF,EK,5A,0,na,na,na,
april,20/04/2023,RH,AF,EK,5B,0,na,na,na,
april,20/04/2023,RH,AF,EK,5C,3,common chickweed,3,5,
april,20/04/2023,RH,AF,EK,6A,0,na,na,na,
april,20/04/2023,RH,AF,EK,6B,0,na,na,na,
april,20/04/2023,RH,AF,EK,6C,0,na,na,na,
april,20/04/2023,RH,AF,EK,M1A1,0,na,na,na,
april,20/04/2023,RH,AF,EK,M1B1,0,na,na,na,
april,20/04/2023,RH,AF,EK,M1C1,0,na,na,na,
april,20/04/2023,RH,AF,EK,M2A,0,na,na,na,
april,20/04/2023,RH,AF,EK,M2B,3,dandelion,3,1,
april,20/04/2023,RH,AF,EK,M2C,0,na,na,na,
april,20/04/2023,RH,AF,EK,M3A1,3,dandelion,3,1,
april,20/04/2023,RH,AF,EK,M3B1,0,na,na,na,
april,20/04/2023,RH,AF,EK,M3C1,0,na,na,na,
april,20/04/2023,RH,C,EK,1A,0,na,na,na,
april,20/04/2023,RH,C,EK,1B,0,na,na,na,
april,20/04/2023,RH,C,EK,1C,0,na,na,na,
april,20/04/2023,RH,C,EK,2A,0,na,na,na,
april,20/04/2023,RH,C,EK,2B,0,na,na,na,
april,20/04/2023,RH,C,EK,2C,0,na,na,na,
april,20/04/2023,RH,C,EK,3A,0,na,na,na,
april,20/04/2023,RH,C,EK,3B,0,na,na,na,
april,20/04/2023,RH,C,EK,3C,0,na,na,na,
april,20/04/2023,RH,C,EK,4A,0,na,na,na,
april,20/04/2023,RH,C,EK,4B,0,na,na,na,
april,20/04/2023,RH,C,EK,4C,0,na,na,na,
april,20/04/2023,RH,C,EK,5A,0,na,na,na,
april,20/04/2023,RH,C,EK,5B,0,na,na,na,
april,20/04/2023,RH,C,EK,5C,0,na,na,na,
april,20/04/2023,RH,C,EK,6A,0,na,na,na,
april,20/04/2023,RH,C,EK,6B,0,na,na,na,
april,20/04/2023,RH,C,EK,6C,0,na,na,na,
april,20/04/2023,RH,C,EK,M1A,0,na,na,na,left
april,20/04/2023,RH,C,EK,M1B,0,na,na,na,
april,20/04/2023,RH,C,EK,M1C,0,na,na,na,
april,20/04/2023,RH,C,EK,M2A,0,na,na,na,bottom
april,20/04/2023,RH,C,EK,M2B,0,na,na,na,
april,20/04/2023,RH,C,EK,M2C,0,na,na,na,
april,20/04/2023,RH,C,EK,M3A,0,na,na,na,right
april,20/04/2023,RH,C,EK,M3B,0,na,na,na,
april,20/04/2023,RH,C,EK,M3C,0,na,na,na,
may,22/05/2023,FE,AF,EK,1A,0,na,na,na,
may,22/05/2023,FE,AF,EK,1B,0,na,na,na,
may,22/05/2023,FE,AF,EK,1C,0,na,na,na,
may,22/05/2023,FE,AF,EK,2A,2,scentless mayweed,2,1,
may,22/05/2023,FE,AF,EK,2B,10,groundsel,2,5,
may,22/05/2023,FE,AF,EK,2B,10,scentless mayweed,3,20,
may,22/05/2023,FE,AF,EK,2C,3,scentless mayweed,3,20,
may,22/05/2023,FE,AF,EK,3A,0,na,na,na,
may,22/05/2023,FE,AF,EK,3B,0,na,na,na,
may,22/05/2023,FE,AF,EK,3C,0,na,na,na,
may,22/05/2023,FE,AF,EK,4A,0,na,na,na,
may,22/05/2023,FE,AF,EK,4B,0,na,na,na,
may,22/05/2023,FE,AF,EK,4C,0,na,na,na,
may,22/05/2023,FE,AF,EK,5A,0,na,na,na,
may,22/05/2023,FE,AF,EK,5B,0,na,na,na,
may,22/05/2023,FE,AF,EK,5C,0,na,na,na,
may,22/05/2023,FE,AF,EK,6A,0,na,na,na,
may,22/05/2023,FE,AF,EK,6B,0,na,na,na,
may,22/05/2023,FE,AF,EK,6C,0,na,na,na,
may,22/05/2023,FE,AF,EK,7A,0,na,na,na,
may,22/05/2023,FE,AF,EK,7B,0,na,na,na,
may,22/05/2023,FE,AF,EK,7C,0,na,na,na,
may,22/05/2023,FE,AF,EK,8A,10,oilseed rape,10,31,
may,22/05/2023,FE,AF,EK,8B,0,na,na,na,
may,22/05/2023,FE,AF,EK,8C,0,na,na,na,
may,22/05/2023,FE,AF,EK,M1A,0,na,na,na,
may,22/05/2023,FE,AF,EK,M1B,0,na,na,na,
may,22/05/2023,FE,AF,EK,M1C,<1,lesser trefoil,<1,14,
may,22/05/2023,FE,AF,EK,M2A,5,scentless mayweed,4,9,
may,22/05/2023,FE,AF,EK,M2A,5,cut-leaved cranesbill,1,1,
may,22/05/2023,FE,AF,EK,M2B,0,na,na,na,
may,22/05/2023,FE,AF,EK,M2C,0,na,na,na,
may,22/05/2023,FE,AF,EK,M3A,3,common vetch,3,3,
may,22/05/2023,FE,AF,EK,M3B,0,na,na,na,
may,22/05/2023,FE,AF,EK,M3C,2,common chickweed,2,5,
may,22/05/2023,FE,C,EK,1A,0,na,na,na,
may,22/05/2023,FE,C,EK,1B,0,na,na,na,
may,22/05/2023,FE,C,EK,1C,0,na,na,na,
may,22/05/2023,FE,C,EK,2A,0,na,na,na,
may,22/05/2023,FE,C,EK,2B,0,na,na,na,
may,22/05/2023,FE,C,EK,2C,0,na,na,na,
may,22/05/2023,FE,C,EK,3A,0,na,na,na,
may,22/05/2023,FE,C,EK,3B,0,na,na,na,
may,22/05/2023,FE,C,EK,3C,0,na,na,na,
may,22/05/2023,FE,C,EK,4A,0,na,na,na,
may,22/05/2023,FE,C,EK,4B,0,na,na,na,
may,22/05/2023,FE,C,EK,4C,0,na,na,na,
may,22/05/2023,FE,C,EK,5A,0,na,na,na,
may,22/05/2023,FE,C,EK,5B,0,na,na,na,
may,22/05/2023,FE,C,EK,5C,0,na,na,na,
may,22/05/2023,FE,C,EK,6A,0,na,na,na,
may,22/05/2023,FE,C,EK,6B,0,na,na,na,
may,22/05/2023,FE,C,EK,6C,0,na,na,na,
may,22/05/2023,FE,C,EK,M1A,25,red campion,25,3,
may,22/05/2023,FE,C,EK,M1B,7,white campion,7,6,
may,22/05/2023,FE,C,EK,M1C,26,scentless mayweed,26,105,
may,22/05/2023,FE,C,EK,M3A,10,red campion,10,8,
may,22/05/2023,FE,C,EK,M3B,0,na,na,na,
may,22/05/2023,FE,C,EK,M3C,20,red campion,20,5,
may,25/05/2023,WH,AF,EK,1A,0,na,na,na,
may,25/05/2023,WH,AF,EK,1B,0,na,na,na,
may,25/05/2023,WH,AF,EK,1C,0,na,na,na,
may,25/05/2023,WH,AF,EK,2A,100,cow parsley,100,14,
may,25/05/2023,WH,AF,EK,2B,30,cow parsley,30,10,
may,25/05/2023,WH,AF,EK,2C,20,cow parsley,20,11,
may,25/05/2023,WH,AF,EK,3A,35,common chickweed,30,1,
may,25/05/2023,WH,AF,EK,3A,35,field pansy,5,1,
may,25/05/2023,WH,AF,EK,3B,0,na,na,na,
may,25/05/2023,WH,AF,EK,3C,50,common chickweed,50,4,
may,25/05/2023,WH,AF,EK,4A,80,cow parsley,80,21,
may,25/05/2023,WH,AF,EK,4B,0,na,na,na,
may,25/05/2023,WH,AF,EK,4C,50,cow parsley,50,11,
may,25/05/2023,WH,AF,EK,5A,90,common chickweed,90,8,
may,25/05/2023,WH,AF,EK,5B,75,common chickweed,75,8,
may,25/05/2023,WH,AF,EK,5C,0,na,na,na,
may,25/05/2023,WH,AF,EK,6A,30,cow parsley,30,9,
may,25/05/2023,WH,AF,EK,6B,0,na,na,na,
may,25/05/2023,WH,AF,EK,6C,0,na,na,na,
may,25/05/2023,WH,AF,EK,M1A,100,cow parsley,100,52,
may,25/05/2023,WH,AF,EK,M1B,50,cow parsley,50,18,
may,25/05/2023,WH,AF,EK,M1C,20,cow parsley,20,5,
may,25/05/2023,WH,AF,EK,M2A,10,cow parsley,10,1,
may,25/05/2023,WH,AF,EK,M2B,0,na,na,na,
may,25/05/2023,WH,AF,EK,M2C,10,cow parsley,10,6,
may,25/05/2023,WH,AF,EK,M3A,0,na,na,na,
may,25/05/2023,WH,AF,EK,M3B,15,cow parsley,15,3,
may,25/05/2023,WH,AF,EK,M3C,100,cow parsley,100,58,
may,25/05/2023,WH,C,EK,1A,50,common chickweed,50,7,
may,25/05/2023,WH,C,EK,1B,45,common chickweed,45,3,
may,25/05/2023,WH,C,EK,1C,30,common chickweed,25,4,
may,25/05/2023,WH,C,EK,1C,30,field pansy,5,2,
may,25/05/2023,WH,C,EK,2A,20,common chickweed,20,15,
may,25/05/2023,WH,C,EK,2B,30,common chickweed,30,6,
may,25/05/2023,WH,C,EK,2C,75,common chickweed,75,96,
may,25/05/2023,WH,C,EK,3A,30,common chickweed,30,16,
may,25/05/2023,WH,C,EK,3B,10,common chickweed,10,8,
may,25/05/2023,WH,C,EK,3C,5,common chickweed,5,4,
may,25/05/2023,WH,C,EK,4A,15,field pansy,5,3,
may,25/05/2023,WH,C,EK,4A,15,shepherd's purse,5,103,
may,25/05/2023,WH,C,EK,4A,15,common chickweed,5,1,
may,25/05/2023,WH,C,EK,5A,10,common chickweed,10,4,
may,25/05/2023,WH,C,EK,5B,20,common chickweed,20,15,
may,25/05/2023,WH,C,EK,5C,5,common chickweed,5,3,
may,25/05/2023,WH,C,EK,6A,5,common chickweed,3,1,
may,25/05/2023,WH,C,EK,6A,5,shepherd's purse,2,18,
may,25/05/2023,WH,C,EK,6B,30,common chickweed,20,21,
may,25/05/2023,WH,C,EK,6B,30,shepherd's purse,10,22,
may,25/05/2023,WH,C,EK,6C,80,common chickweed,75,110,
may,25/05/2023,WH,C,EK,6C,80,shepherd's purse,5,72,
may,25/05/2023,WH,C,EK,M1A,0,na,na,na,
may,25/05/2023,WH,C,EK,M1B,0,na,na,na,
may,25/05/2023,WH,C,EK,M1C,0,na,na,na,
may,25/05/2023,WH,C,EK,M2A,0,na,na,na,
may,25/05/2023,WH,C,EK,M2B,0,na,na,na,
may,25/05/2023,WH,C,EK,M2C,0,na,na,na,
may,25/05/2023,WH,C,EK,M3A,0,na,na,na,
may,25/05/2023,WH,C,EK,M3B,50,cow parsley,50,6,
may,25/05/2023,WH,C,EK,M3C,0,na,na,na,
may,24/05/2023,RH,AF,EK,1A,0,na,na,na,
may,24/05/2023,RH,AF,EK,1B,0,na,na,na,
may,24/05/2023,RH,AF,EK,1C,0,na,na,na,
may,24/05/2023,RH,AF,EK,2A,80,meadow buttercup,80,20,
may,24/05/2023,RH,AF,EK,2B,0,na,na,na,
may,24/05/2023,RH,AF,EK,2C,0,na,na,na,
may,24/05/2023,RH,AF,EK,3A,0,na,na,na,
may,24/05/2023,RH,AF,EK,3B,0,na,na,na,
may,24/05/2023,RH,AF,EK,3C,0,na,na,na,
may,24/05/2023,RH,AF,EK,4A,0,na,na,na,
may,24/05/2023,RH,AF,EK,4B,0,na,na,na,
may,24/05/2023,RH,AF,EK,4C,0,na,na,na,
